ax2,ay2,az2,gx2,gy2,gz2,mx2,my2,mz2,p2
0.0,-0.02,-0.1,-0.0022,-0.0044,-0.0011,-19.6875,10.0,8.75,435.69219766546985
0.0,-0.04,-0.1,0.0,-0.0022,0.0022,-19.6875,10.0,8.75,435.8047452293556
0.0,0.0,-0.12,-0.0022,0.0033,0.0011,-19.6875,10.0,8.75,435.81016045656213
0.03,-0.02,-0.13,-0.0011,0.0022,0.0,-19.6875,10.0,8.75,435.6840575623758
0.01,-0.07,-0.13,-0.0022,-0.0011,0.0,-18.875,10.375,10.0,435.7776170666448
-0.01,-0.06,-0.16,-0.0011,-0.0033,0.0022,-18.875,10.375,10.0,435.6677860535993
-0.02,-0.03,-0.11,0.0,-0.0011,0.0,-18.875,10.375,10.0,435.65016078426476
0.02,-0.01,-0.1,-0.0011,0.0055,-0.0011,-18.5625,10.375,9.1875,435.7043991540023
0.04,-0.02,-0.11,-0.0011,0.0055,-0.0011,-18.5625,10.375,9.1875,435.62711173305576
0.0,-0.04,-0.13,0.0,0.0011,0.0,-18.5625,10.375,9.1875,435.5823588843174
-0.02,-0.07,-0.11,0.0011,-0.0055,0.0011,-18.5625,10.375,9.1875,435.74236618258806
-0.02,-0.06,-0.11,-0.0011,-0.0011,-0.0011,-19.6875,10.0,9.1875,435.7206707205591
0.03,0.0,-0.11,-0.0022,0.0,0.0022,-19.6875,10.0,9.1875,435.7193169252424
0.03,-0.03,-0.12,-0.0011,0.0022,0.0,-19.6875,10.0,9.1875,435.70575294735625
-0.02,-0.05,-0.12,-0.0011,0.0,0.0,-18.5625,10.375,8.375,435.75186013113466
-0.02,-0.05,-0.13,-0.0011,0.0011,0.0,-18.5625,10.375,8.375,435.73965858643544
0.01,-0.04,-0.13,-0.0011,-0.0022,0.0,-18.5625,10.375,8.375,435.78846485187313
0.01,-0.01,-0.11,0.0011,-0.0022,-0.0011,-18.5625,10.375,8.375,435.76406169027155
0.01,-0.04,-0.09,-0.0011,-0.0033,0.0022,-19.25,10.75,9.1875,435.8643996680288
-0.02,-0.03,-0.11,-0.0011,-0.0022,-0.0011,-19.25,10.75,9.1875,435.73287224278766
0.0,-0.04,-0.12,-0.0022,0.0044,0.0011,-19.25,10.75,9.1875,435.6745723544063
0.03,-0.04,-0.16,-0.0022,0.0044,0.0,-19.6875,10.75,9.1875,435.67727993346483
0.04,-0.02,-0.14,0.0011,-0.0033,0.0011,-19.6875,10.75,9.1875,435.78711104765284
-0.01,-0.04,-0.13,0.0022,-0.0044,0.0011,-19.6875,10.75,9.1875,435.7247407857592
0.0,-0.03,-0.11,0.0,0.0,0.0,-19.6875,10.75,9.1875,435.68948140434253
0.0,-0.02,-0.12,0.0,0.0011,0.0011,-19.6875,10.75,9.5625,435.7342260398851
0.01,-0.04,-0.14,-0.0022,0.0022,0.0011,-19.6875,10.75,9.5625,435.73287224278766
0.01,-0.06,-0.13,0.0,0.0,0.0,-19.6875,10.75,9.5625,435.8155930431248
-0.01,-0.04,-0.12,0.0,-0.0033,0.0011,-19.25,10.375,9.1875,435.6528770350324
