ax2,ay2,az2,gx2,gy2,gz2,mx2,my2,mz2,p2,optix,optiy,optiz
-0.01,-0.06,-0.13,0.0,-0.0033,0.0,-18.5625,10.375,8.75,435.77220185653226,3.314053773880005,1.9985828399658203,0.958264172077179
0.0,-0.04,-0.12,-0.0011,0.0011,0.0,-19.25,10.375,8.375,435.6243954890716,3.314037799835205,1.9985617399215696,0.958252489566803
0.01,-0.03,-0.13,0.0011,-0.0011,0.0,-19.25,10.375,8.375,435.7776170666448,3.3140697479248047,1.998592019081116,0.9582799673080444
0.0,-0.02,-0.1,0.0,0.0,0.0,-19.25,10.375,8.375,435.7789795478426,3.314040422439575,1.9988476037979128,0.958282709121704
0.0,-0.06,-0.12,0.0,-0.0011,0.0,-19.25,10.0,8.75,435.8942356951232,3.314041376113892,1.998787879943848,0.9582798480987548
0.01,-0.06,-0.15,0.0,0.0076,-0.0011,-19.25,10.0,8.75,435.8033827447538,3.31404447555542,1.998764157295227,0.9582748413085938
0.0,-0.02,-0.1,0.0,-0.0065,0.0022,-19.25,10.0,8.75,435.72744837799615,3.314072370529175,1.998757481575012,0.9582728147506714
0.0,0.0,-0.1,0.0,-0.0033,0.0022,-18.875,9.5625,8.375,435.753213930726,3.314095020294189,1.9984277486801147,0.9582338929176332
0.0,-0.02,-0.13,0.0,0.0033,0.0,-18.875,9.5625,8.375,435.7844034397484,3.314095973968506,1.9983068704605105,0.9582051634788512
0.03,-0.03,-0.1,0.0,0.0055,-0.0011,-18.875,9.5625,8.375,435.72744837799615,3.3141181468963623,1.998250126838684,0.9582208395004272
-0.01,-0.05,-0.09,0.0033,0.0011,-0.0011,-18.875,9.5625,8.375,435.7193169252424,3.314114809036255,1.998198390007019,0.9582025408744812
0.0,-0.09,-0.13,0.0,0.0011,0.0011,-18.5625,10.375,9.875,435.6894814043425,3.314127206802368,1.9981619119644165,0.9581738710403442
0.0,-0.05,-0.14,-0.0011,-0.0044,0.0011,-18.5625,10.375,9.875,435.7355885153471,3.3141393661499023,1.9981783628463743,0.958176851272583
0.03,-0.03,-0.13,0.0022,0.0033,0.0011,-18.5625,10.375,9.875,435.6745723544063,3.3141472339630127,1.9984314441680908,0.9581728577613832
0.0,-0.05,-0.09,-0.0022,0.0011,0.0011,-18.5625,10.0,8.75,435.6501607842648,3.314178943634033,1.9983876943588257,0.958178460597992
0.0,-0.02,-0.12,-0.0011,-0.0011,0.0011,-18.5625,10.0,8.75,435.76541549146657,3.314204454421997,1.9984384775161743,0.958163321018219
0.01,-0.05,-0.11,-0.0011,0.0022,0.0,-18.5625,10.0,8.75,435.8372887049004,3.3142263889312744,1.9984211921691892,0.9581665396690368
0.0,-0.02,-0.12,-0.0011,0.0,-0.0022,-18.5625,10.0,8.75,435.77220185653226,3.314279317855835,1.9979982376098635,0.9581517577171326
0.03,-0.02,-0.12,0.0,-0.0044,-0.0011,-18.875,10.75,9.5625,435.79118113907685,3.3142952919006348,1.9979488849639893,0.9581650495529176
0.02,-0.04,-0.11,0.0044,-0.0044,0.0022,-18.875,10.75,9.5625,435.7233783117286,3.314311981201172,1.9983198642730715,0.9581423997879028
0.0,-0.02,-0.12,0.0,0.0011,-0.0011,-18.875,10.75,9.5625,435.7640616902716,3.314380645751953,1.9980216026306152,0.9581505060195924
0.0,-0.03,-0.13,-0.0033,0.0044,0.0,-19.6875,10.375,9.1875,435.7694855743264,3.314399719238281,1.997920274734497,0.9581767916679382
0.03,-0.03,-0.08,0.0011,0.0033,-0.0011,-19.6875,10.375,9.1875,435.7966050374022,3.314427614212036,1.9979747533798216,0.958153486251831
0.01,-0.01,-0.15,-0.0011,0.0,0.0011,-19.6875,10.375,9.1875,435.73016464912905,3.314464807510376,1.997919678688049,0.9581763744354248
-0.02,-0.06,-0.13,0.0011,-0.0011,0.0022,-19.6875,10.375,9.1875,435.8060990358928,3.314474105834961,1.9979528188705444,0.9581977128982544
-0.03,-0.03,-0.12,0.0011,-0.0022,0.0011,-18.1875,9.5625,9.5625,435.84949036514536,3.3145103454589844,1.9980053901672363,0.9581968784332277
0.01,0.0,-0.14,-0.0011,-0.0011,-0.0011,-18.1875,9.5625,9.5625,435.7247407857592,3.3145573139190674,1.997950315475464,0.9581726789474488
